file_name,block_instructions,target_example,thisN,thisTrialN,thisRepN,target_presence,opacity_1,opacity_2,opacity_3,opacity_4,opacity_5,opacity_6,opacity_7,opacity_8,opacity_9,opacity_10,opacity_11,opacity_12,n_distract,n_items,target_ori,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Welcome.started,WelcomeText.started,key_resp_2.started,Welcome.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,InformedConsent.started,text_4.started,InformedConsent.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,key_resp_4.started,example_target.started,text_3.started,blocks.key_resp_4.keys,blocks.key_resp_4.rt,blocks.key_resp_4.duration,FixCross.started,fixCross.started,FixCross.stopped,Stimulus.started,key_resp.started,Stimulus.stopped,practice_trials.key_resp.keys,practice_trials.key_resp.corr,practice_trials.key_resp.rt,practice_trials.key_resp.duration,BlankScreen.started,text.started,text.stopped,BlankScreen.stopped,fixCross.stopped,ExperimentStart.started,text_2.started,key_resp_5.started,ExperimentStart.stopped,blocks.key_resp_5.keys,blocks.key_resp_5.rt,blocks.key_resp_5.duration,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,Thanks.started,ThankYou.started,key_resp_3.started,Thanks.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,leeftijd,gender,links/rechtshandig,date,expName,expVersion,psychopyVersion,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012911499999972875,0.04168350000054488,0.04168350000054488,25.281049900000653,space,25.210414299999684,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,866,22,M,L,2026-02-18_12h28.55.581,VisualSearch_2526_3,,2025.2.4,2026-02-18 12h28.55.778699 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.281142499999987,25.288193299999875,28.231604100000368,y,2.9365430999996534,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,866,22,M,L,2026-02-18_12h28.55.581,VisualSearch_2526_3,,2025.2.4,2026-02-18 12h28.55.778699 +0100,
tilted.xlsx,The target is tilted.,117,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,7,8,117,space,3.618123100000048,None,1,0,2.2167316000004575,None,,,,0,0,0,0,0,0,0,5,,,,,31.923403800000415,,,,,,,,,,,,,,,28.26869590000024,28.26869590000024,28.26869590000024,space,3.618123100000048,None,31.918431000000055,31.923403800000415,32.41210890000002,32.41725840000072,32.432176600000275,34.661575099999936,1,0,2.2167316000004575,None,34.66168970000035,34.67746780000016,34.87737360000028,34.86050310000064,,,,,,,,,,,,,,,,,,,,866,22,M,L,2026-02-18_12h28.55.581,VisualSearch_2526_3,,2025.2.4,2026-02-18 12h28.55.778699 +0100,
tilted.xlsx,The target is tilted.,117,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,11,12,117,space,3.618123100000048,None,1,1,1.897805999999946,None,,,,0,0,0,0,0,1,1,0,,,,,34.87737360000028,,,,,,,,,,,,,,,,,,,,,34.860845100000006,34.87737360000028,35.36122950000026,35.366112100000464,35.38158000000021,37.29412830000001,1,1,1.897805999999946,None,37.29432010000073,37.309397300000455,37.50947290000022,37.49331230000007,35.38158000000021,,,,,,,,,,,,,,,,,,,866,22,M,L,2026-02-18_12h28.55.581,VisualSearch_2526_3,,2025.2.4,2026-02-18 12h28.55.778699 +0100,
tilted.xlsx,The target is tilted.,117,2,2,0,0,1,1,1,1,1,1,1,1,1,1,1,1,11,12,117,space,3.618123100000048,None,0,1,1.770821999999498,None,,,,0,0,0,0,0,2,2,4,,,,,37.50947290000022,,,,,,,,,,,,,,,,,,,,,37.49399520000043,37.50947290000022,37.993286300000364,37.9981686000001,38.01279030000023,39.792899600000055,0,1,1.770821999999498,None,39.793073700000605,39.8080987000003,40.008616600000096,39.99186610000015,38.01279030000023,,,,,,,,,,,,,,,,,,,866,22,M,L,2026-02-18_12h28.55.581,VisualSearch_2526_3,,2025.2.4,2026-02-18 12h28.55.778699 +0100,
tilted.xlsx,The target is tilted.,117,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,117,space,3.618123100000048,None,0,1,1.443469300000288,None,,,,0,0,0,0,0,3,3,7,,,,,40.008616600000096,,,,,,,,,,,,,,,,,,,,,39.992574400000194,40.008616600000096,40.492154100000334,40.49702620000062,40.511464199999864,41.9584076000001,0,1,1.443469300000288,None,41.95859730000029,41.973865100000694,42.173803900000166,42.15772250000009,40.511464199999864,,,,,,,,,,,,,,,,,,,866,22,M,L,2026-02-18_12h28.55.581,VisualSearch_2526_3,,2025.2.4,2026-02-18 12h28.55.778699 +0100,
tilted.xlsx,The target is tilted.,117,4,4,0,0,1,1,1,0,0,0,0,0,0,0,0,1,3,4,117,space,3.618123100000048,None,0,1,1.0215582999999242,None,,,,0,0,0,0,0,4,4,6,,,,,42.173803900000166,,,,,,,,,,,,,,,,,,,,,42.15838620000068,42.173803900000166,42.657642600000145,42.66249120000066,42.67741400000068,43.7075904000003,0,1,1.0215582999999242,None,43.7077632999999,43.72281449999991,43.92295400000057,43.90735040000072,42.67741400000068,,,,,,,,,,,,,,,,,,,866,22,M,L,2026-02-18_12h28.55.581,VisualSearch_2526_3,,2025.2.4,2026-02-18 12h28.55.778699 +0100,
tilted.xlsx,The target is tilted.,117,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,117,space,3.618123100000048,None,1,1,0.6982542000005196,None,,,,0,0,0,0,0,5,5,3,,,,,43.92295400000057,,,,,,,,,,,,,,,,,,,,,43.90805929999988,43.92295400000057,44.40710290000061,44.41200939999999,44.427455400000326,45.13975660000051,1,1,0.6982542000005196,None,45.139895199999955,45.155728499999896,45.35616950000076,45.339481400000295,44.427455400000326,,,,,,,,,,,,,,,,,,,866,22,M,L,2026-02-18_12h28.55.581,VisualSearch_2526_3,,2025.2.4,2026-02-18 12h28.55.778699 +0100,
tilted.xlsx,The target is tilted.,117,6,6,0,1,1,1,1,1,1,1,1,0,0,0,0,0,7,8,117,space,3.618123100000048,None,1,1,1.4956842999999935,None,,,,0,0,0,0,0,6,6,1,,,,,45.35616950000076,,,,,,,,,,,,,,,,,,,,,45.34014670000033,45.35616950000076,45.839739300000474,45.844669400000384,45.86010510000051,47.372131800000716,1,1,1.4956842999999935,None,47.37228680000044,47.38794140000027,47.58844080000017,47.57196019999992,45.86010510000051,,,,,,,,,,,,,,,,,,,866,22,M,L,2026-02-18_12h28.55.581,VisualSearch_2526_3,,2025.2.4,2026-02-18 12h28.55.778699 +0100,
tilted.xlsx,The target is tilted.,117,7,7,0,1,1,1,1,0,0,0,0,0,0,0,0,0,3,4,117,space,3.618123100000048,None,1,1,0.8745754999999917,None,,,,0,0,0,0,0,7,7,2,,,,,47.58844080000017,,,,,,,,,,,,,,,,,,,,,47.57265009999992,47.58844080000017,48.07169430000067,48.07648310000059,48.09155920000012,48.971712300000036,1,1,0.8745754999999917,None,48.97185360000003,48.9873548000005,49.18756790000043,49.17176720000043,48.09155920000012,,,,,,,,,,,,,,,,,,,866,22,M,L,2026-02-18_12h28.55.581,VisualSearch_2526_3,,2025.2.4,2026-02-18 12h28.55.778699 +0100,
