file_name,block_instructions,target_example,thisN,thisTrialN,thisRepN,target_presence,opacity_1,opacity_2,opacity_3,opacity_4,opacity_5,opacity_6,opacity_7,opacity_8,opacity_9,opacity_10,opacity_11,opacity_12,n_distract,n_items,target_ori,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Welcome.started,WelcomeText.started,key_resp_2.started,Welcome.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,InformedConsent.started,text_4.started,InformedConsent.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,key_resp_4.started,example_target.started,text_3.started,blocks.key_resp_4.keys,blocks.key_resp_4.rt,blocks.key_resp_4.duration,FixCross.started,fixCross.started,FixCross.stopped,Stimulus.started,key_resp.started,Stimulus.stopped,practice_trials.key_resp.keys,practice_trials.key_resp.corr,practice_trials.key_resp.rt,practice_trials.key_resp.duration,BlankScreen.started,text.started,text.stopped,BlankScreen.stopped,fixCross.stopped,ExperimentStart.started,text_2.started,key_resp_5.started,ExperimentStart.stopped,blocks.key_resp_5.keys,blocks.key_resp_5.rt,blocks.key_resp_5.duration,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,Thanks.started,ThankYou.started,key_resp_3.started,Thanks.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,leeftijd,gender,links/rechtshandig,date,expName,expVersion,psychopyVersion,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.029125800000201707,0.03957470000023022,0.03957470000023022,19.416845600000215,space,19.353428500000064,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,871,21,M,R,2026-02-23_12h01.31.814,VisualSearch_2526_3,,2025.2.4,2026-02-23 12h01.32.029311 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.41698570000017,19.426012599999922,30.197751300000164,y,10.77800920000027,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,871,21,M,R,2026-02-23_12h01.31.814,VisualSearch_2526_3,,2025.2.4,2026-02-23 12h01.32.029311 +0100,
vertical.xlsx,The target is tilted.,135,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,7,8,135,space,6.746010599999863,None,0,0,2.048768199999813,None,,,,0,0,0,1,0,0,0,1,,,,,37.025486699999874,,,,,,,,,,,,,,,30.24051869999994,30.24051869999994,30.24051869999994,space,6.746010599999863,None,37.019707500000095,37.025486699999874,37.509952299999895,37.51473010000018,37.53138290000015,39.59320380000008,0,0,2.048768199999813,None,39.593377000000146,39.60870130000012,39.808892800000194,39.7927724000001,,,,,,,,,,,,,,,,,,,,871,21,M,R,2026-02-23_12h01.31.814,VisualSearch_2526_3,,2025.2.4,2026-02-23 12h01.32.029311 +0100,
vertical.xlsx,The target is tilted.,135,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,1,7,8,135,space,6.746010599999863,None,0,1,0.8139209000000847,None,,,,0,0,0,1,0,1,1,5,,,,,39.808892800000194,,,,,,,,,,,,,,,,,,,,,39.79348489999984,39.808892800000194,40.29258750000008,40.297146599999905,40.31511690000025,41.14227650000021,0,1,0.8139209000000847,None,41.14240800000016,41.1577013000001,41.357865400000264,41.34184719999985,40.31511690000025,,,,,,,,,,,,,,,,,,,871,21,M,R,2026-02-23_12h01.31.814,VisualSearch_2526_3,,2025.2.4,2026-02-23 12h01.32.029311 +0100,
vertical.xlsx,The target is tilted.,135,2,2,0,0,1,1,1,0,0,0,0,0,0,0,0,1,3,4,135,space,6.746010599999863,None,0,1,0.5713727000002109,None,,,,0,0,0,1,0,2,2,6,,,,,41.357865400000264,,,,,,,,,,,,,,,,,,,,,41.34250650000013,41.357865400000264,41.84152660000018,41.844634999999926,41.85803480000004,42.44210729999986,0,1,0.5713727000002109,None,42.442296799999895,42.457118300000275,42.65767330000017,42.64143479999984,41.85803480000004,,,,,,,,,,,,,,,,,,,871,21,M,R,2026-02-23_12h01.31.814,VisualSearch_2526_3,,2025.2.4,2026-02-23 12h01.32.029311 +0100,
vertical.xlsx,The target is tilted.,135,3,3,0,1,1,1,1,1,1,1,1,1,1,1,1,0,11,12,135,space,6.746010599999863,None,1,1,1.2946624000001066,None,,,,0,0,0,1,0,3,3,0,,,,,42.65767330000017,,,,,,,,,,,,,,,,,,,,,42.6421091000002,42.65767330000017,43.14112950000026,43.14569840000013,43.1618696999999,44.45778040000005,1,1,1.2946624000001066,None,44.4579705000001,44.47292500000003,44.67340950000016,44.657441299999846,43.1618696999999,,,,,,,,,,,,,,,,,,,871,21,M,R,2026-02-23_12h01.31.814,VisualSearch_2526_3,,2025.2.4,2026-02-23 12h01.32.029311 +0100,
vertical.xlsx,The target is tilted.,135,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,135,space,6.746010599999863,None,1,1,0.5042342000001554,None,,,,0,0,0,1,0,4,4,3,,,,,44.67340950000016,,,,,,,,,,,,,,,,,,,,,44.65815999999995,44.67340950000016,45.15703979999989,45.16161999999986,45.1781946000001,45.691176799999994,1,1,0.5042342000001554,None,45.69136579999986,45.70572140000013,45.90593209999997,45.88957250000021,45.1781946000001,,,,,,,,,,,,,,,,,,,871,21,M,R,2026-02-23_12h01.31.814,VisualSearch_2526_3,,2025.2.4,2026-02-23 12h01.32.029311 +0100,
vertical.xlsx,The target is tilted.,135,5,5,0,0,1,1,1,1,1,1,1,1,1,1,1,1,11,12,135,space,6.746010599999863,None,0,1,1.5464500000002772,None,,,,0,0,0,1,0,5,5,4,,,,,45.90593209999997,,,,,,,,,,,,,,,,,,,,,45.89022400000022,45.90593209999997,46.38984029999983,46.394571899999846,46.411521600000015,47.97194639999998,0,1,1.5464500000002772,None,47.97201700000005,47.98811230000001,48.18851880000011,48.172285399999964,46.411521600000015,,,,,,,,,,,,,,,,,,,871,21,M,R,2026-02-23_12h01.31.814,VisualSearch_2526_3,,2025.2.4,2026-02-23 12h01.32.029311 +0100,
vertical.xlsx,The target is tilted.,135,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,135,space,6.746010599999863,None,0,1,0.5804312000000209,None,,,,0,0,0,1,0,6,6,7,,,,,48.18851880000011,,,,,,,,,,,,,,,,,,,,,48.17293960000006,48.18851880000011,48.67183490000025,48.676505700000234,48.69364660000019,49.28815590000022,0,1,0.5804312000000209,None,49.288308700000016,49.30396980000023,49.504638200000045,49.488374099999874,48.69364660000019,,,,,,,,,,,,,,,,,,,871,21,M,R,2026-02-23_12h01.31.814,VisualSearch_2526_3,,2025.2.4,2026-02-23 12h01.32.029311 +0100,
vertical.xlsx,The target is tilted.,135,7,7,0,1,1,1,1,0,0,0,0,0,0,0,0,0,3,4,135,space,6.746010599999863,None,0,0,0.6620474999999715,None,,,,0,0,0,1,0,7,7,2,,,,,49.504638200000045,,,,,,,,,,,,,,,,,,,,,49.489034300000185,49.504638200000045,49.98819850000018,49.99273579999999,50.00948670000025,50.68781050000007,0,0,0.6620474999999715,None,50.6880027000002,50.70340840000017,50.90371570000025,50.88780399999996,50.00948670000025,,,,,,,,,,,,,,,,,,,871,21,M,R,2026-02-23_12h01.31.814,VisualSearch_2526_3,,2025.2.4,2026-02-23 12h01.32.029311 +0100,
vertical.xlsx,The target is tilted.,135,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,11,12,135,space,6.746010599999863,None,0,1,3.2117750999996133,None,space,1.9180163999999422,None,0,0,0,1,,,,,0,0,0,4,52.87003959999993,,,,,,,,,,,,,,,,,,,,,52.86594640000021,52.87003959999993,53.35302920000004,53.357709500000055,53.372978299999886,56.60183770000003,,,,,56.602047200000015,56.61738779999996,56.81759929999998,56.80167510000001,,50.89474710000013,50.90371570000025,50.90371570000025,52.83722059999991,space,1.9180163999999422,None,0,1,3.2117750999996133,None,,,,,,,,871,21,M,R,2026-02-23_12h01.31.814,VisualSearch_2526_3,,2025.2.4,2026-02-23 12h01.32.029311 +0100,
